elo_diff,winrate_30d_diff,form_diff,h2h_winrate_a,ranking_diff,map_winrate_diff,days_since_last_diff,lineup_age_diff,team_a_won,date,team_a,team_b,winner,event
-43.331522863843475,0.0,0.0,0.5,0.43331522863843475,0.0,-1,-1,0,2024-05-22 15:00:00+00:00,BESTIA,Fluxo,team1,ESL Challenger League Season 47 South America
-8.690646779426515,-0.5,0.0,0.5,0.08690646779426515,-0.5,-5,-2,0,2024-05-22 16:00:00+00:00,M80,Mythic,team1,Thunderpick World Championship 2024 NA Closed Qualifier 1
71.36110690324813,0.0,0.0,0.0,-0.7136110690324813,0.0,0,1,0,2024-05-22 16:10:00+00:00,Fluxo,BESTIA,team2,ESL Challenger League Season 47 South America
-11.289191527964022,0.0,0.0,0.0,0.11289191527964021,0.0,2,0,0,2024-05-22 18:00:00+00:00,9z,Imperial,team2,ESL Challenger League Season 47 South America
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-22 19:00:00+00:00,LAG,Wildcard,team2,Thunderpick World Championship 2024 NA Closed Qualifier 1
42.24978433543697,0.0,0.0,0.0,-0.4224978433543697,0.0,0,0,0,2024-05-22 19:10:00+00:00,Imperial,9z,team1,ESL Challenger League Season 47 South America
-17.15856309322635,-0.5,0.0,0.5,0.17158563093226348,-0.5,3,0,0,2024-05-22 21:00:00+00:00,BOSS,Take Flyte,team2,ESL Challenger League Season 47 North America
47.57948461574688,0.0,0.0,0.0,-0.4757948461574688,0.0,0,0,0,2024-05-22 22:00:00+00:00,Take Flyte,BOSS,team2,ESL Challenger League Season 47 North America
-48.63776215309122,0.0,0.0,0.5,0.4863776215309122,0.0,-1,-3,0,2024-05-23 05:00:00+00:00,SINNERS,Passion UA,team2,CCT Season 2 Europe Series 4
0.0,0.0,-0.5,0.5,0.0,0.0,-10,6,0,2024-05-23 07:25:00+00:00,Rare Atom,MOUZ NXT,team2,CCT Season 2 Europe Series 3
-4.202183658743024,0.0,0.0,0.5,0.04202183658743024,0.0,1,-3,0,2024-05-23 09:30:00+00:00,Liquid,Eternal Fire,team2,CCT Global Finals 2024
-77.80548570101632,0.5,0.0,0.0,0.7780548570101632,0.5,6,0,0,2024-05-23 10:00:00+00:00,3DMAX,Zero Tenacity,team1,CCT Season 2 Europe Series 3
-62.44633635761693,0.0,0.0,0.5,0.6244633635761693,0.0,-2,2,0,2024-05-23 11:00:00+00:00,SINNERS,UNiTY,team1,YGames Pro Series 2024
-16.73630679352209,0.0,0.5,0.5,0.1673630679352209,0.0,8,-6,0,2024-05-23 11:05:00+00:00,RUBY,Nexus,team1,CCT Season 2 Europe Series 4
-0.7039568765039803,0.0,0.5,0.5,0.007039568765039803,0.0,9,-7,0,2024-05-23 13:00:00+00:00,ECSTATIC,1win,team2,CCT Season 2 Europe Series 3
-40.290511154415526,-0.5,0.0,0.5,0.40290511154415526,-0.5,1,-2,0,2024-05-23 18:00:00+00:00,M80,Wildcard,team1,Thunderpick World Championship 2024 NA Closed Qualifier 1
45.74224804506912,0.0,0.0,0.5,-0.45742248045069117,0.0,0,7,0,2024-05-24 04:00:00+00:00,Passion UA,ECSTATIC,team1,European Pro League Season 16
-11.68024530302796,0.5,0.5,0.5,0.1168024530302796,0.5,14,-8,0,2024-05-24 10:00:00+00:00,FURIA,Passion UA,team1,CCT Season 2 Europe Series 3
61.797631028514616,0.5,0.5,0.5,-0.6179763102851461,0.5,10,-8,0,2024-05-24 13:00:00+00:00,Alliance,B8,team2,CCT Season 2 Europe Series 3
-43.56724000682311,0.0,0.0,0.5,0.4356724000682311,0.0,-8,-3,0,2024-05-24 14:00:00+00:00,SINNERS,GUN5,team1,CCT Season 2 Europe Series 4
-47.26376831552648,0.0,0.0,0.5,0.4726376831552648,0.0,-4,-2,0,2024-05-25 04:00:00+00:00,Rebels,ECF,team1,European Pro League Season 16
-60.475644528678004,0.0,0.0,0.5,0.6047564452867801,0.0,0,8,0,2024-05-25 04:00:00+00:00,3DMAX,MOUZ NXT,team2,CCT Season 2 Europe Series 3
-32.13384588580789,0.0,0.0,0.5,0.3213384588580789,0.0,-1,-8,0,2024-05-25 07:10:00+00:00,FURIA,1win,team2,CCT Season 2 Europe Series 3
-92.59343680679058,0.0,0.0,0.5,0.9259343680679057,0.0,-3,0,0,2024-05-25 10:55:00+00:00,B8,BetBoom,team1,CCT Season 2 Europe Series 3
-39.585600614182795,-0.5,0.0,0.5,0.3958560061418279,-0.5,-2,8,0,2024-05-25 14:55:00+00:00,B8,RUBY,team1,CCT Season 2 Europe Series 4
98.24310766443841,0.5,0.0,0.5,-0.9824310766443841,0.5,1,-8,0,2024-05-26 06:00:00+00:00,MOUZ NXT,B8,team1,CCT Season 2 Europe Series 3
59.32612706463033,-0.5,0.0,0.5,-0.5932612706463033,-0.5,2,9,0,2024-05-26 08:00:00+00:00,Zero Tenacity,RUBY,team1,CCT Season 2 Europe Series 4
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-26 17:00:00+00:00,MIBR fe,Atrix,team1,ESL Impact Spring 2024 Cash Cup 4 South America
-23.130799516997286,0.0,0.0,0.5,0.23130799516997286,0.0,-3,-6,0,2024-05-27 05:00:00+00:00,MOUZ NXT,Nexus,team1,CCT Season 2 Europe Series 4
-14.586095717099852,0.0,-0.5,0.5,0.1458609571709985,0.0,-6,8,0,2024-05-27 10:30:00+00:00,Galorys,Dusty Roots,team1,CCT Season 2 South America Series 1
-14.53049847102443,0.0,0.5,0.5,0.1453049847102443,0.0,5,-12,0,2024-05-27 13:30:00+00:00,G2,Falcons,team1,IEM Dallas 2024
58.339391079495044,0.0,0.5,0.5,-0.5833939107949504,0.0,8,-11,0,2024-05-27 13:30:00+00:00,Vitality,Monte,team1,IEM Dallas 2024
19.15507730524655,0.5,0.0,0.5,-0.1915507730524655,0.5,4,0,0,2024-05-27 15:00:00+00:00,MOUZ,9z,team2,IEM Dallas 2024
-0.5672144795014447,0.0,0.5,0.5,0.005672144795014446,0.0,7,-8,0,2024-05-27 15:55:00+00:00,Natus Vincere,BIG,team1,IEM Dallas 2024
39.91283891204671,0.5,0.5,0.5,-0.3991283891204671,0.5,11,-9,0,2024-05-27 16:20:00+00:00,FaZe,M80,team1,IEM Dallas 2024
