match_id,date,team_a,team_b,event,tournament,match_type,status,stream_url,source
ps_1504027,2026-05-31 11:00:00,TBD,TBD,CCT Europe,Challengers Series season 3 2026,best_of,not_started,https://kick.com/CCT_CS6,pandascore
ps_1497829,2026-05-31 12:00:00,TBD,TBD,DACH CS Masters,Season 5 2026,best_of,not_started,https://www.twitch.tv/dachcs,pandascore
ps_1501223,2026-05-31 13:00:00,TBD,TBD,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1497679,2026-05-31 13:30:00,TBD,TBD,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://www.twitch.tv/bcgamemasters,pandascore
ps_1504028,2026-05-31 13:45:00,TBD,TBD,CCT Europe,Challengers Series season 3 2026,best_of,not_started,https://kick.com/CCT_CS6,pandascore
ps_1497833,2026-05-31 14:00:00,TBD,TBD,DACH CS Masters,Season 5 2026,best_of,not_started,https://www.twitch.tv/dachcs,pandascore
ps_1504725,2026-05-31 14:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1501224,2026-05-31 16:00:00,TBD,TBD,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1508619,2026-05-31 17:00:00,TBD,TBD,Circuit X Base Recife,2026,best_of,not_started,https://www.twitch.tv/circuitxofficial,pandascore
ps_1504726,2026-05-31 17:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1497832,2026-05-31 17:00:00,TBD,TBD,DACH CS Masters,Season 5 2026,best_of,not_started,https://www.twitch.tv/dach_cs2,pandascore
ps_1497680,2026-05-31 17:00:00,TBD,TBD,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://www.twitch.tv/bcgamemasters,pandascore
ps_1508618,2026-05-31 20:00:00,TBD,TBD,Circuit X Base Recife,2026,best_of,not_started,https://www.twitch.tv/circuitxofficial,pandascore
ps_1504694,2026-06-01 08:00:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1504695,2026-06-01 10:30:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
