match_id,date,team_a,team_b,score_a,score_b,winner,event,maps
hltv_match_2374174,2024-07-30 20:00:00+00:00,MIBR,Dusty Roots,,,team2,ESL Challenger League Season 48 South America,0
hltv_match_2374286,2024-07-31 04:00:00+00:00,Mindfreak,DXA,,,team1,ESL Challenger Atlanta 2024 Oceania Open Qualifier,0
hltv_match_2374202,2024-07-31 05:00:00+00:00,fnatic,Johnny Speeds,,,team2,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0
hltv_match_2374011,2024-07-31 05:00:00+00:00,EYEBALLERS,Nexus,,,team2,Elisa Invitational Fall 2024 Contenders,0
hltv_match_2374091,2024-07-31 06:00:00+00:00,GUN5,K27,,,team2,Hellcase Cup 10,0
hltv_match_2374078,2024-07-31 09:00:00+00:00,9INE,EYEBALLERS,,,team2,YaLLa Compass Summer 2024 Contenders,0
hltv_match_2373776,2024-07-31 09:25:00+00:00,G2,Ninjas in Pyjamas,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2374137,2024-07-31 10:00:00+00:00,Sashi,Insilio,,,team1,ESL Challenger League Season 48 Europe,0
hltv_match_2373887,2024-07-31 10:00:00+00:00,paiN,Dusty Roots,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2373777,2024-07-31 11:45:00+00:00,Natus Vincere,BIG,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2373669,2024-07-31 13:00:00+00:00,ODDIK,MIBR,,,team2,ESL Challenger League Season 48 South America,0
hltv_match_2373778,2024-07-31 13:30:00+00:00,Virtus.pro,Liquid,,,team2,BLAST Premier Fall Groups 2024,0
hltv_match_2373677,2024-07-31 14:00:00+00:00,MIBR,ODDIK,,,team1,ESL Challenger League Season 48 South America,0
hltv_match_2374140,2024-07-31 14:00:00+00:00,Monte,EYEBALLERS,,,team1,ESL Challenger League Season 48 Europe,0
hltv_match_2374231,2024-07-31 16:20:00+00:00,MIBR,Sharks,,,team1,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,0
hltv_match_2374236,2024-07-31 19:00:00+00:00,paiN,ODDIK,,,team1,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,0
hltv_match_2374157,2024-07-31 21:00:00+00:00,NRG,BOSS,,,team1,ESL Challenger League Season 48 North America,0
hltv_match_2374163,2024-07-31 22:00:00+00:00,BOSS,NRG,,,team2,ESL Challenger League Season 48 North America,0
hltv_match_2374280,2024-08-01 04:30:00+00:00,Rare Atom,ATOX,,,team1,IEM Rio 2024 Asia Closed Qualifier,0
hltv_match_2373783,2024-08-01 06:00:00+00:00,FaZe,G2,,,team2,BLAST Premier Fall Groups 2024,0
hltv_match_2374029,2024-08-01 06:30:00+00:00,Passion UA,9INE,,,team1,CCT Season 2 Europe Series 7,0
hltv_match_2374200,2024-08-01 08:00:00+00:00,Metizport,Insilio,,,team2,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0
hltv_match_2374281,2024-08-01 08:45:00+00:00,TYLOO,Rare Atom,,,team1,IEM Rio 2024 Asia Closed Qualifier,0
hltv_match_2373891,2024-08-01 10:00:00+00:00,paiN,Sharks,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2374203,2024-08-01 11:00:00+00:00,G2 Ares,fnatic,,,team2,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0
hltv_match_2373784,2024-08-01 12:10:00+00:00,Natus Vincere,Liquid,,,team2,BLAST Premier Fall Groups 2024,0
hltv_match_2374133,2024-08-01 13:00:00+00:00,3DMAX,Betera,,,team1,ESL Challenger League Season 48 Europe,0
hltv_match_2373892,2024-08-01 13:20:00+00:00,Fluxo,BESTIA,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2373786,2024-08-01 15:35:00+00:00,BIG,Virtus.pro,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2373893,2024-08-01 16:10:00+00:00,MIBR,ODDIK,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2374348,2024-08-01 18:50:00+00:00,Bounty Hunters,Yawara,,,team1,ESL Challenger Atlanta 2024 South America Open Qualifier,0
hltv_match_2374350,2024-08-01 19:45:00+00:00,Bounty Hunters,Dusty Roots,,,team2,ESL Challenger Atlanta 2024 South America Open Qualifier,0
hltv_match_2374283,2024-08-02 04:30:00+00:00,Rare Atom,ATOX,,,team1,IEM Rio 2024 Asia Closed Qualifier,0
hltv_match_2374204,2024-08-02 05:00:00+00:00,Nemiga,Johnny Speeds,,,team2,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0
hltv_match_2374293,2024-08-02 07:00:00+00:00,ARCRED,Insilio,,,team1,Betera Vibe City 2024,0
hltv_match_2374205,2024-08-02 08:00:00+00:00,fnatic,Nemiga,,,team1,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0
hltv_match_2373788,2024-08-02 08:00:00+00:00,Astralis,Falcons,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2374284,2024-08-02 08:30:00+00:00,TYLOO,Rare Atom,,,team2,IEM Rio 2024 Asia Closed Qualifier,0
hltv_match_2374241,2024-08-02 10:00:00+00:00,paiN,Sharks,,,team1,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,0
hltv_match_2373895,2024-08-02 11:00:00+00:00,MIBR,Fluxo,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2373789,2024-08-02 11:05:00+00:00,FaZe,Ninjas in Pyjamas,,,team2,BLAST Premier Fall Groups 2024,0
hltv_match_2374005,2024-08-02 11:45:00+00:00,ENCE Academy,HAVU,,,team1,Elisa Esports eSM 2024,0
hltv_match_2373936,2024-08-02 13:15:00+00:00,ECLOT,SINNERS,,,team1,Tipsport Summer Cup 2024 Finals,0
hltv_match_2373790,2024-08-02 13:45:00+00:00,Natus Vincere,BIG,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2373896,2024-08-02 14:00:00+00:00,paiN,Legacy,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2374240,2024-08-02 16:00:00+00:00,MIBR,ODDIK,,,team2,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,0
hltv_match_2373897,2024-08-02 18:20:00+00:00,MIBR,paiN,,,team2,CCT Season 2 South America Series 2,0
hltv_match_2374238,2024-08-02 19:00:00+00:00,Legacy,Fluxo,,,team1,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,0
hltv_match_2374184,2024-08-03 05:00:00+00:00,Chinggis Warriors,Steel Helmet,,,team1,XSE Pro League 2024,0
hltv_match_2374211,2024-08-03 05:00:00+00:00,1win,Insilio,,,team2,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0
hltv_match_2374032,2024-08-03 05:45:00+00:00,PARIVISION,CYBERSHOKE,,,team1,CCT Season 2 Europe Series 7,0
hltv_match_2374033,2024-08-03 08:30:00+00:00,Sangal,Passion UA,,,team1,CCT Season 2 Europe Series 7,0
hltv_match_2374339,2024-08-03 09:00:00+00:00,NIP Impact,Imperial Valkyries,,,team2,Betswap Fragster Summer Vibes FE 2024,0
hltv_match_2373792,2024-08-03 09:50:00+00:00,Vitality,Astralis,,,team1,BLAST Premier Fall Groups 2024,0
hltv_match_2374296,2024-08-03 10:00:00+00:00,ARCRED,BC.Game,,,team2,Betera Vibe City 2024,0
hltv_match_2374146,2024-08-03 12:20:00+00:00,GUN5,PARIVISION,,,team1,ESL Challenger League Season 48 Europe,0
hltv_match_2374243,2024-08-03 12:30:00+00:00,paiN,ODDIK,,,team1,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,0
